10.0.17.9 - - [07/Nov/2025:09:03:37 -0500] "GET /bin/bash HTTP/1.1" 404 488 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:04:28 -0500] "-" 408 0 "-" "-"
10.0.17.9 - - [07/Nov/2025:09:13:24 -0500] "GET /bin/sh HTTP/1.1" 404 488 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:13:32 -0500] "GET / HTTP/1.1" 200 487 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:13:39 -0500] "GET /bin HTTP/1.1" 404 488 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:14:30 -0500] "-" 408 0 "-" "-"
10.0.17.9 - - [07/Nov/2025:09:35:04 -0500] "GET /page2.html HTTP/1.1" 200 496 "http://10.0.17.9/page2.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:35:04 -0500] "GET /page2.html HTTP/1.1" 200 495 "http://10.0.17.9/page2.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:35:04 -0500] "GET /page2.html HTTP/1.1" 200 495 "http://10.0.17.9/page2.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:35:05 -0500] "GET /page2.html HTTP/1.1" 200 495 "http://10.0.17.9/page2.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
10.0.17.9 - - [07/Nov/2025:09:35:05 -0500] "GET /page2.html HTTP/1.1" 200 495 "http://10.0.17.9/page2.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36"
